sku,nombre_producto,categoria_subcategoria,precio_lista,peso,proveedor,descripcion,stock_disponible,fecha_alta,activo
sku_00043,Muebles What 537,Hogar > Muebles,"$ 13,379.82",1.51 kg,Despacho Macías y Romero,Knowledge city technology late seem style everyone sing machine dream key require doctor from throw.,305.0,2020-08-01,1
sku_00044,Calzado Be 416,Moda > Calzado,"$ 11,806.89",8.54 kg,"Parra, Nazario y Alarcón",Character him check degree increase former letter artist strategy.,180.0,2023-08-28,1
SKU-00045,Calzado Improve 368,Moda > Calzado,"$ 22,958.77",18.95 kg,Loya y Brito S.C.,Watch affect thing offer local wall fear hope through structure Mrs same son today major event.,432.0,2020-12-07,1
sku_00046,Calzado Mention 289,Moda > Calzado,"$ 7,327.98",18.94 kg,Despacho Garay-Padrón,,322.0,2023-04-23,1
SKU-00047,Cocina Air 784,Hogar > Cocina,"$ 23,375.17",29.0 kg,Laboratorios Enríquez y Mesa,From quickly identify close level camera performance agree hour north agree poor career.,79.0,2022-09-19,1
sku_00048,Limpieza Main 459,Hogar > Limpieza,$ 528.84,20.04 kg,"Laboratorios Arredondo, Quintero y Barrios",Anyone here deep force seven here sell story edge.,328.0,2023-06-25,1
00049,Audio Beat 712,Electrónica > Audio,"$ 4,445.45",28.07 kg,Despacho Sarabia-Sanabria,Affect much yourself glass practice sit prepare senior wear current after charge call prove.,75.0,2020-12-21,1
P-00050,Accesorios Moda Organization 324,Moda > Accesorios Moda,"$ 24,038.75",14.43 kg,Club Olmos-Aragón,Let eight hard paper white responsibility sing clearly find official.,,2020-09-10,1
PROD-00051,Decoración Woman 741,Hogar > Decoración,"$ 7,095.04",29.69 kg,"Valenzuela, Cisneros y Espinal",Office traditional heart walk cup option store drug recent feeling range.,223.0,2021-09-04,1
PROD-00052,Televisores Support 223,Electrónica > Televisores,"$ 24,137.33",15.23 kg,"Escamilla, Negrón y Palacios",Someone not American mouth product attention positive actually information.,230.0,2024-04-17,1
P-00053,Audio Might 475,Electrónica > Audio,"$ 5,040.77",18.58 kg,Despacho Olivo-Sierra,Item gun through least check computer miss practice.,439.0,2022-09-20,1
sku_00054,Televisores Power 717,Electrónica > Televisores,$ 553.67,14.75 kg,"Moya, Paredes y Lucio",Simple let stay or focus early various everything late seek now property from management foot.,477.0,2021-04-10,0
00055,Audio Method 641,Electrónica > Audio,"$ 20,134.21",9.43 kg,Zavala y Velasco S.C.,Great election evidence other they new might course drop image.,424.0,2022-06-14,1
P-00056,Ropa Mujer One 702,Moda > Ropa Mujer,"$ 4,622.59",20.74 kg,Salazar e Hijos,Real position make society behavior develop reality fill ok list.,307.0,2019-09-27,1
sku_00057,Smartphones Nice 274,Electrónica > Smartphones,"$ 5,047.41",9.1 kg,Industrias Jasso-Martínez,International second former reflect even edge building court build movie several continue.,176.0,2022-07-30,1
SKU-00058,Infantil Direction 160,Moda > Infantil,"$ 5,454.89",21.07 kg,Mora y Collazo e Hijos,,,2022-11-25,1
PROD-00059,Televisores Single 139,Electrónica > Televisores,"$ 17,131.32",21.23 kg,Caraballo-Velázquez,Everybody operation set others wonder strategy fast guess few remain call animal approach factor.,100.0,2019-04-20,1
P-00060,Accesorios Moda Yet 716,Moda > Accesorios Moda,"$ 19,044.83",29.57 kg,Club Roldán y Sotelo,Point sell bill activity expect long future whole education.,71.0,2020-02-06,1
SKU-00061,Ropa Hombre Training 484,Moda > Ropa Hombre,"$ 9,353.30",20.58 kg,Hernandes S.A.,Box assume man officer rather charge specific we be easy newspaper indicate other peace.,308.0,2022-09-20,1
P-00062,Ropa Hombre Stand 415,Moda > Ropa Hombre,"$ 13,055.09",29.04 kg,Rosas-Herrera S.C.,Herself training father open investment notice art whether between several personal enough ball dream necessary.,500.0,2020-05-04,1
SKU-00063,Jardín Close 633,Hogar > Jardín,"$ 24,634.02",10.36 kg,Muñiz y Hernández e Hijos,Impact ready like allow explain executive teacher.,5.0,2024-01-03,0
SKU-00064,Accesorios Moda Avoid 965,Moda > Accesorios Moda,"$ 15,354.97",3.84 kg,Serrano-Botello e Hijos,Under skin person product value interesting name positive training step.,270.0,2019-10-21,0
SKU-00065,Ropa Hombre Away 165,Moda > Ropa Hombre,"$ 11,295.63",4.32 kg,Esquivel-Aponte e Hijos,,206.0,2019-01-14,1
sku_00066,Smartphones As 208,Electrónica > Smartphones,"$ 13,050.82",16.25 kg,"Alcaraz, Padrón y Ceballos",Society organization station TV keep light fight I evening.,132.0,2019-03-26,0
SKU-00067,Limpieza Notice 492,Hogar > Limpieza,"$ 21,012.93",1.96 kg,Corporacin Guillen y Olmos,Just our threat same page ago director purpose team onto again share start office.,28.0,2020-03-04,1
sku_00068,Laptops Source 424,Electrónica > Laptops,$ 882.61,0.63 kg,Cedillo y Olvera S. R.L. de C.V.,Like prepare trouble consider one play man before girl.,107.0,2020-11-29,1
P-00069,Cocina Goal 815,Hogar > Cocina,"$ 7,318.87",4.58 kg,"Grijalva, Centeno y Llamas",Prove tax form really explain war spend nearly lawyer fire follow wife.,380.0,2023-08-11,1
00070,Smartphones International 774,Electrónica > Smartphones,"$ 20,915.64",17.34 kg,Proyectos González-Reyna,Stay ability thank left approach million performance material kind appear environment capital explain thing machine.,364.0,2019-11-12,1
sku_00071,Laptops Air 901,Electrónica > Laptops,"$ 21,218.91",24.75 kg,"Club Merino, Cardona y Espinoza",Participant dream citizen nearly need behavior yeah tree left brother strategy marriage respond meeting event strong.,181.0,2021-03-31,1
P-00072,Audio Marriage 872,Electrónica > Audio,"$ 4,202.71",4.71 kg,Oquendo A.C.,Lead certain course out second carry attorney significant take future.,267.0,2023-04-13,0
sku_00073,Audio Store 657,Electrónica > Audio,"$ 8,489.29",20.55 kg,"Rendón, Montenegro y Miramontes",Environment able rise study oil process tend land machine forward several help usually thank.,330.0,2021-06-24,1
PROD-00074,Muebles Save 131,Hogar > Muebles,,18.16 kg,Hidalgo-Verduzco,Occur do simply analysis seat relate specific history professional star.,278.0,2022-11-19,1
P-00075,Cocina Civil 402,Hogar > Cocina,"$ 7,479.42",23.65 kg,Uribe y Brito e Hijos,Who call whole forward beyond suddenly between treat address century that wide avoid sit.,190.0,2023-12-04,1
P-00076,Limpieza Evidence 856,Hogar > Limpieza,$ 784.83,22.28 kg,"Industrias Cervántez, Collado y Olivas",Perhaps however bag forget purpose move west phone thought maintain must pay.,495.0,2021-08-09,1
SKU-00077,Jardín Easy 228,Hogar > Jardín,"$ 12,867.48",17.22 kg,Leal y Lomeli S.A. de C.V.,Range explain dinner bed within set region beyond coach federal ahead food argue grow issue each.,244.0,2023-01-31,1
P-00078,Cocina Its 393,Hogar > Cocina,"$ 23,626.43",1.26 kg,"Verdugo, Vela y Guevara",Radio conference company participant him raise marriage on discussion point least project together let explain.,473.0,2023-01-08,1
SKU-00079,Laptops Office 148,Electrónica > Laptops,"$ 13,606.56",6.07 kg,Despacho Bermúdez-Feliciano,,252.0,2023-06-29,1
SKU-00080,Accesorios Coach 232,Electrónica > Accesorios,"$ 6,259.81",16.95 kg,Otero y Badillo S.A. de C.V.,Kid generation onto police interesting economic suddenly current.,368.0,2022-10-13,1
P-00081,Infantil If 621,Moda > Infantil,,6.32 kg,"Díaz, Roque y Campos",Blood high grow fast recognize against stop how account ten sing wind treat seat.,194.0,2022-03-12,1
SKU-00082,Muebles There 597,Hogar > Muebles,"$ 7,182.56",27.16 kg,Arevalo-Sandoval e Hijos,Simply discover soon despite couple economy sense should race carry best.,145.0,2021-12-29,1
PROD-00083,Ropa Hombre Product 761,Moda > Ropa Hombre,"$ 18,606.14",10.02 kg,"Zelaya, Orozco y Camarillo",Final kid often run bed far section.,176.0,2022-07-06,0
P-00084,Accesorios Moda Continue 256,Moda > Accesorios Moda,"$ 7,487.16",28.27 kg,Club Bétancourt y Ayala,Car much will most tree store either station loss southern.,148.0,2022-12-18,1
SKU-00085,Accesorios Skin 936,Electrónica > Accesorios,"$ 2,868.88",0.61 kg,"Alejandro, Aguirre y Chapa",Sound life away senior difficult put purpose however suffer newspaper bed house.,380.0,2020-09-19,1
00086,Smartphones Everything 729,Electrónica > Smartphones,"$ 4,488.39",9.88 kg,Solorzano-Lomeli S.A. de C.V.,Buy happy see energy herself police he push likely people wall foreign particular positive play.,149.0,2023-03-02,1
P-00087,Accesorios Majority 289,Electrónica > Accesorios,"$ 11,758.39",6.65 kg,"Club Mendoza, Zapata y Concepción",Power bring animal also you break doctor Mr home he we.,177.0,2019-05-19,1
SKU-00088,Calzado Same 140,Moda > Calzado,"$ 24,410.38",10.24 kg,"Montenegro, Duarte y Adame",Industry score choice increase between majority impact week allow have kitchen wear talk between rate.,443.0,2023-09-27,1
SKU-00089,Infantil Off 257,Moda > Infantil,"$ 13,592.49",18.64 kg,"Valdivia, Munguía y Montaño",Art every why we station begin deep police wife anything four writer.,305.0,2019-02-14,0
SKU-00090,Calzado Stop 374,Moda > Calzado,"$ 23,020.87",9.19 kg,"Grupo Melgar, Arriaga y Hurtado",Day stop never only spend do similar small other everyone worker would music sometimes body.,318.0,2020-03-05,1
SKU-00091,Ropa Hombre Trial 545,Moda > Ropa Hombre,$ 451.36,28.87 kg,Laboratorios Páez y Aragón,Capital group small open administration enter camera.,359.0,2020-11-13,1
00092,Ropa Hombre Know 624,Moda > Ropa Hombre,"$ 7,646.39",20.78 kg,Lara-Barajas,Box as large gun order later develop past road training probably feeling poor all your.,494.0,2023-11-28,1
SKU-00093,Muebles Throw 429,Hogar > Muebles,"$ 5,521.47",15.48 kg,"Carmona, del Valle y de la Rosa",International blue Republican kitchen tonight focus chance call person one Republican herself our.,428.0,2021-03-12,0
sku_00094,Jardín Financial 674,Hogar > Jardín,"$ 17,324.16",27.05 kg,"Aponte, Aguayo y Alejandro",Measure involve soldier boy pressure there necessary tend involve thousand including still human role.,474.0,2021-03-02,1
SKU-00095,Smartphones Form 475,Electrónica > Smartphones,"$ 21,449.12",22.89 kg,"Leyva, Robles y Aragón",Fine effort well rather listen before be it season head candidate art what.,480.0,2020-05-23,1
00096,Accesorios Or 208,Electrónica > Accesorios,"$ 6,502.39",19.82 kg,"Mora, Montaño y Jurado",Prove improve them wait institution trouble anything explain fine billion medical choice.,121.0,2024-04-20,1
SKU-00097,Calzado Meet 737,Moda > Calzado,"$ 14,565.01",1.82 kg,Club Méndez y Ureña,Suggest glass news boy everything difficult investment night should perform.,362.0,2020-11-19,1
00098,Smartphones Republican 260,Electrónica > Smartphones,"$ 8,677.39",17.12 kg,Castañeda-Palomino S.A. de C.V.,Ago upon stop environment Congress reflect finally fund accept thank not husband center plan air.,310.0,2022-11-16,1
00099,Muebles Skin 676,Hogar > Muebles,"$ 21,501.76",2.0 kg,Valladares y Castellanos e Hijos,Democrat information game have return since nothing be apply church pay purpose evening product magazine.,25.0,2022-04-13,1
00100,Audio Letter 387,Electrónica > Audio,"$ 10,788.80",4.68 kg,Angulo S. R.L. de C.V.,,423.0,2023-04-12,1
SKU-00101,Jardín Join 434,Hogar > Jardín,"$ 17,453.62",18.54 kg,Castillo S.A.,Democratic mention generation book question or money final determine worker area.,239.0,2019-05-03,0
sku_00102,Televisores Democratic 727,Electrónica > Televisores,"$ 9,485.45",20.9 kg,Despacho Feliciano y Carrillo,War should share face build market issue can mouth discover next.,196.0,2022-06-01,0
P-00103,Jardín Relate 360,Hogar > Jardín,"$ 13,503.75",12.35 kg,Sauceda A.C.,Author technology amount affect TV television office of remember individual boy again.,115.0,2021-12-26,1
00104,Smartphones Garden 252,Electrónica > Smartphones,"$ 13,150.23",23.67 kg,"Corporacin de la Fuente, Rascón y Galindo",Soon peace story turn because such during open model.,190.0,2022-12-20,0
sku_00105,Audio Individual 890,Electrónica > Audio,"$ 9,472.61",7.11 kg,Zavala y Pichardo S.A. de C.V.,Second develop single baby plan most create simply go when population.,,2019-07-29,1
SKU-00106,Ropa Mujer Choose 165,Moda > Ropa Mujer,"$ 2,254.96",6.9 kg,Montemayor S.A.,Bill eight community check service away week physical less nor.,158.0,2021-06-06,1
sku_00107,Ropa Mujer Particularly 654,Moda > Ropa Mujer,"$ 1,751.66",3.24 kg,Alvarado S.A.,Race think poor worry follow wife firm key light place someone option goal avoid.,283.0,2022-10-20,1
PROD-00108,Limpieza Main 918,Hogar > Limpieza,"$ 2,530.57",14.79 kg,"Vásquez, Salinas y Aragón",Also hard expert popular within bed order his oil west school American training occur.,428.0,2022-10-23,1
P-00109,Muebles Cup 143,Hogar > Muebles,"$ 19,384.81",28.71 kg,Varela-Angulo S.C.,Painting may whatever late specific study word base position always remain yard.,365.0,2022-12-29,1
P-00110,Ropa Hombre Need 243,Moda > Ropa Hombre,"$ 8,395.40",9.0 kg,"Grupo Meléndez, Quesada y Meza",Particular hair truth hold simple quickly appear piece free form newspaper hit edge surface who.,448.0,2019-04-01,0
P-00111,Limpieza Player 461,Hogar > Limpieza,"$ 16,703.47",24.83 kg,Barrera y Olivárez S.A.,Four old center glass whose recognize hot organization visit.,454.0,2024-04-30,1
P-00112,Ropa Mujer Force 263,Moda > Ropa Mujer,"$ 23,811.82",8.5 kg,"Zambrano, Lucero y Calvillo",Heavy social spend prove stock school rate money position interest gun guy Congress degree way.,233.0,2024-01-02,1
PROD-00113,Jardín Mention 278,Hogar > Jardín,"$ 20,139.76",20.15 kg,Olivas-Arroyo,Difficult case baby such big side strong this also from.,436.0,2021-09-14,1
P-00114,Accesorios Moda Space 378,Moda > Accesorios Moda,"$ 11,252.16",21.54 kg,"Pelayo, Canales y Galindo",Capital heavy class story side speak close join improve put down know expect security large move.,413.0,2022-12-28,1
P-00115,Televisores For 715,Electrónica > Televisores,"$ 14,621.03",9.71 kg,Cavazos y Olivera S.A.,Tough create question now key show sing me industry class current painting their appear.,476.0,2023-08-23,1
sku_00116,Limpieza Medical 223,Hogar > Limpieza,"$ 14,437.49",6.61 kg,Ramos-Pantoja,Never bill suffer surface expect several evening town challenge join watch develop.,492.0,2023-01-31,1
P-00117,Televisores Little 596,Electrónica > Televisores,"$ 13,399.24",27.22 kg,Proyectos Berríos-Amador,Us increase how hear history bank different five between research friend certainly.,116.0,2021-03-18,1
SKU-00118,Laptops American 488,Electrónica > Laptops,"$ 24,455.27",18.11 kg,Bonilla y Díaz A.C.,True line story serve light past town affect democratic change vote.,406.0,2020-01-27,1
PROD-00119,Ropa Mujer Politics 389,Moda > Ropa Mujer,"$ 17,718.63",0.67 kg,Orellana A.C.,Institution simply down business draw police performance artist student matter movie place offer responsibility fact.,399.0,2021-11-23,1
SKU-00120,Muebles Ability 810,Hogar > Muebles,"$ 1,746.74",3.44 kg,Industrias Irizarry-Palacios,Good number cost property model guess well name skill medical after them analysis hit health section.,389.0,2023-09-17,1
P-00121,Calzado Heavy 371,Moda > Calzado,"$ 22,312.83",13.1 kg,Almonte y Aguilera S.C.,General run pick sign same forward and national.,316.0,2019-05-20,0
00122,Smartphones Teach 285,Electrónica > Smartphones,"$ 20,123.73",4.03 kg,Hurtado-Jiménez y Asociados,Store range wonder long consider care respond want already.,379.0,2020-11-28,1
P-00123,Accesorios Defense 673,Electrónica > Accesorios,"$ 9,704.34",17.15 kg,Cortez y Peralta S.A. de C.V.,Social though firm financial huge spring list.,144.0,2022-03-06,1
00124,Decoración Although 417,Hogar > Decoración,"$ 15,350.30",29.68 kg,Saucedo-Serrato,Experience television answer pretty event son join hundred keep what.,14.0,2023-09-17,1
sku_00125,Laptops Group 959,Electrónica > Laptops,"$ 3,543.27",6.17 kg,"Páez, Pabón y Segura",Many marriage under mind song risk bad own state.,192.0,2019-12-13,0
00126,Audio Offer 682,Electrónica > Audio,"$ 22,671.42",17.06 kg,Jaime-Acuña S.A. de C.V.,,377.0,2019-05-27,1
SKU-00127,Ropa Mujer Finally 936,Moda > Ropa Mujer,"$ 19,188.46",29.62 kg,Laboratorios Ochoa-Valdés,Bill foreign fast knowledge response coach know language risk treatment past itself.,30.0,2023-05-02,0
SKU-00128,Decoración Purpose 815,Hogar > Decoración,"$ 16,884.98",25.29 kg,"Alejandro, Cintrón y Páez",Avoid point guy song quickly well central parent.,276.0,2022-08-01,1
sku_00129,Laptops Station 576,Electrónica > Laptops,"$ 16,010.55",0.45 kg,"Proyectos García, Leal y Montemayor",Alone attack sing hand him note painting quickly we head several off morning.,181.0,2023-06-12,1
sku_00130,Smartphones Information 351,Electrónica > Smartphones,"$ 23,954.54",19.0 kg,Proyectos Castillo-Miranda,Power economic box save material hit no energy employee land you experience.,419.0,2022-04-07,1
P-00131,Laptops Whom 849,Electrónica > Laptops,"$ 12,219.15",25.12 kg,"Industrias Galván, Lovato y Meraz",Customer career available common require young specific whose worry property remember nearly face feel.,76.0,2021-11-20,1
sku_00132,Smartphones Coach 716,Electrónica > Smartphones,"$ 23,647.06",3.34 kg,Grijalva-Gutiérrez,,93.0,2022-08-02,1
PROD-00133,Laptops Seek 605,Electrónica > Laptops,"$ 11,232.14",22.73 kg,Patiño S.C.,Soldier meeting building cut catch so ago network hard.,190.0,2021-03-02,1
SKU-00134,Limpieza Suggest 601,Hogar > Limpieza,"$ 21,033.14",0.2 kg,Jimínez y González S.A. de C.V.,Candidate this assume huge response long improve important offer by first avoid letter military campaign.,168.0,2019-06-15,0
sku_00135,Limpieza Them 473,Hogar > Limpieza,"$ 16,880.20",21.12 kg,Guzmán e Hijos,Policy consider whom item treat area buy check clearly follow remember generation wait thus suffer.,131.0,2021-12-23,0
00136,Jardín Enough 553,Hogar > Jardín,"$ 21,072.46",17.35 kg,Club Véliz-Ávalos,Play nearly by field move maybe collection walk child probably.,168.0,2021-01-13,1
sku_00137,Audio Service 490,Electrónica > Audio,"$ 18,802.11",1.41 kg,Padilla-de la Torre,Front under American tell ball we side enough decision occur peace air threat nation politics few.,481.0,2019-01-25,0
00138,Accesorios Election 851,Electrónica > Accesorios,"$ 5,618.28",10.14 kg,"Delgadillo, Almanza y Vega",Father authority art keep machine daughter parent fine responsibility safe team wish candidate.,374.0,2023-08-21,1
00139,Cocina Hospital 949,Hogar > Cocina,"$ 3,988.44",29.57 kg,"Nieto, Pantoja y Pabón",No five letter environment easy best face his past eat tend civil force officer fine.,409.0,2023-01-01,0
00140,Laptops Source 999,Electrónica > Laptops,"$ 14,723.04",10.62 kg,Zarate y de Jesús S. R.L. de C.V.,Marriage method material final age war measure whom Democrat.,346.0,2023-11-23,1
sku_00141,Smartphones Head 234,Electrónica > Smartphones,"$ 13,082.78",9.45 kg,Grupo Portillo-Briseño,Anything manager think pressure like Mr suggest.,355.0,2019-02-26,1
P-00142,Jardín Lawyer 207,Hogar > Jardín,"$ 23,568.40",3.27 kg,Laureano y Pedroza y Asociados,Think road shake hand hundred now crime network available.,228.0,2021-02-13,0
P-00143,Televisores Mother 110,Electrónica > Televisores,"$ 1,271.21",7.72 kg,Segura-Cortés S.A. de C.V.,Share evidence writer quite budget window hour some fund voice sense current meeting matter.,,2019-10-15,1
PROD-00144,Limpieza Answer 804,Hogar > Limpieza,"$ 5,978.54",0.99 kg,"Laboratorios López, Rojo y Niño",Case four listen lead paper middle foreign.,240.0,2019-03-24,1
00145,Ropa Mujer Position 177,Moda > Ropa Mujer,"$ 6,619.60",17.07 kg,Burgos y Vaca y Asociados,Class wrong school federal from stock mother remember feel staff happy purpose.,388.0,2020-01-17,1
00146,Cocina Keep 468,Hogar > Cocina,"$ 3,909.18",17.5 kg,Núñez-Zapata A.C.,Film together the picture others enter pretty will official dinner anything lose modern return simple herself.,43.0,2019-08-21,1
PROD-00147,Limpieza Term 463,Hogar > Limpieza,,18.67 kg,Grupo de la Torre-Granado,All way body affect finish charge real improve simple turn.,169.0,2022-10-22,1
PROD-00148,Muebles Turn 695,Hogar > Muebles,"$ 19,144.58",4.67 kg,"Ramírez, Prado y Saiz",,98.0,2019-12-16,1
00149,Accesorios Thus 238,Electrónica > Accesorios,$ 205.31,0.21 kg,Iglesias-Barajas S. R.L. de C.V.,Relationship million night your long heavy what least.,399.0,2019-05-29,1
00150,Infantil No 875,Moda > Infantil,"$ 11,614.37",0.62 kg,Industrias Pineda-Zarate,National put test race sound enough machine whatever everything fear walk word.,334.0,2019-09-02,0
